,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
18,GWSA2,Glenn Highway @ Eagle River Br. MP 12.8,61.31169,-149.57626,91.0,"Nov 03, 2011",,AK_RWIS,
19,GHYA2,Glenn Highway @ MP 176,62.10646,-145.85304,658.0,"Nov 03, 2011",,AK_RWIS,
20,GTFA2,Glenn Highway @ MP 35.2,61.5469,-149.251,31.1,"Feb 20, 2013",,AK_RWIS,
21,AK053,Glenn Highway @ MP 35.2,61.5469,-149.251,31.1,"Jan 16, 2013","Feb 20, 2013",AK_RWIS,
22,GHPA2,Glenn Highway @ MP 35.8,61.5539,-149.245,22.9,"Aug 23, 2016","Aug 21, 2017",AK_RWIS,
23,GERA2,Glenn Highway @ S Curves MP 9.9,61.27797,-149.63066,125.0,"Nov 03, 2011",,AK_RWIS,
24,TBFA2,Glenn Highway @ Thunderbird Falls MP 24,61.4388,-149.396,82.0,"Nov 03, 2011",,AK_RWIS,
25,GMTA2,Glenn Hwy @ Gunsight Mountain MP 117,61.8336,-147.408,983.0,"Nov 03, 2011",,AK_RWIS,
26,GHGA2,GLENN HWY MP 106,61.7911,-147.6748,648.0,"May 12, 2023",,AK_RWIS,
27,AK071,Goldstream Rd @ Old Steese Hwy,64.94393,-147.65393,216.0,"Nov 23, 2022",,AK_RWIS,
28,HHWA2,Haines Highway @ Chilkat R. Br. MP 23.8,59.4156,-135.931,50.0,"Nov 03, 2011",,AK_RWIS,
29,HHKA2,Haines Highway @ Klehini MP 36.6,59.4377,-136.273,67.0,"Nov 03, 2011",,AK_RWIS,
30,HPSA2,Hatcher Pass 15,61.76515,-149.24701,728.0,"May 12, 2023",,AK_RWIS,
31,HRHA2,Hillside Road @ Upper Huffman Road,61.10782,-149.74452,310.0,"Nov 03, 2011",,AK_RWIS,
32,HOHA2,HOLLIS HWY,55.458,-132.8412,96.3,"Apr 25, 2018",,AK_RWIS,
33,KCLA2,KLAWOCK HWY AT CONTROL LAKE,55.694,-132.87801,137.2,"Apr 25, 2018",,AK_RWIS,
34,KLNA2,Klondike Highway @ US/Canada Border,59.6296,-135.164,1002.0,"Aug 05, 2013",,AK_RWIS,
35,LTPA2,Lathrop Street @ 21st Street,64.828,-147.745,145.8,"Mar 25, 2014",,AK_RWIS,
36,GOAA2,Mendenhall Loop Road @ Goat Hill,58.39436,-134.62286,24.698755,"Nov 03, 2011",,AK_RWIS,
37,MRJA2,Mt. Roberts Tram DOT,58.2972,-134.386,536.4,"Mar 31, 2015","Oct 28, 2016",AK_RWIS,
38,NHDA2,North Douglas Highway MP 4,58.3329,-134.50227,27.0,"Nov 15, 2011",,AK_RWIS,
39,ACRA2,Parks Highway @ Antler Creek MP 244,63.8096,-148.965,462.0,"Nov 03, 2011",,AK_RWIS,
40,PTFA2,Parks Highway @ MP 35,61.5536,-149.247,107.3,"Feb 20, 2013",,AK_RWIS,
41,AK054,Parks Highway @ MP 35,61.5536,-149.247,107.3,"Jan 16, 2013","Feb 20, 2013",AK_RWIS,
42,NHPA2,Parks Highway @ Nenana Hills MP 325.4,64.70772,-148.63222,426.0,"Nov 03, 2011",,AK_RWIS,
43,RXBA2,Parks Highway @ Rex Bridge MP 276,64.2182,-149.277,236.0,"Feb 06, 2013",,AK_RWIS,
44,AK041,Parks Highway @ Rex Bridge MP 276,64.2182,-149.277,776.0,"Jan 16, 2013","Feb 06, 2013",AK_RWIS,
45,BRPA2,Parks Hwy @ Broad Pass Summit MP 201,63.3278,-149.129,743.0,"Nov 03, 2011","Oct 28, 2012",AK_RWIS,
46,PLCA2,Parks Hwy @ Little Coal Creek MP 163.2,62.88903,-149.76613,406.0,"Nov 03, 2011",,AK_RWIS,
47,TKPA2,Parks Hwy @ Talkeetna Road MP 98.3,62.12944,-150.03966,126.0,"Nov 03, 2011",,AK_RWIS,
48,PSGA2,Pasagshak Road Kodiak @ MP 2.1,57.53003,-152.45918,40.0,"Nov 03, 2011",,AK_RWIS,
49,AK027,Richardson Highway @ Badger Interchang,64.8082,-147.578,147.0,"Nov 03, 2011","Nov 20, 2012",AK_RWIS,
50,RBIA2,Richardson Highway @ Badger Interchange,64.8097,-147.582,159.0,"Jul 17, 2013","Aug 13, 2022",AK_RWIS,
51,BCHA2,Richardson Highway @ Birch Lake MP 307,64.31569,-146.69179,270.0,"Nov 03, 2011",,AK_RWIS,
52,RHKA2,Richardson Highway @ Keystone Canyon MP,61.0591,-145.934,105.0,"Feb 20, 2013",,AK_RWIS,
53,AK051,Richardson Highway @ Keystone Canyon MP,61.0591,-145.934,105.0,"Jan 16, 2013","Feb 20, 2013",AK_RWIS,
54,RSCA2,Richardson Highway @ Stuart Creek MP 45,61.2607,-145.284,371.0,"Jul 16, 2013","Jan 30, 2022",AK_RWIS,
55,AK035,Richardson Highway @ Stuart Cr. MP 45.7,61.2608,-145.284,411.0,"Nov 03, 2011","Nov 14, 2012",AK_RWIS,
56,TFTA2,Richardson Hwy @ Tenderfoot MP 292.6,64.28253,-146.2778,416.0,"Nov 03, 2011",,AK_RWIS,
57,RHRA2,Richardson Hwy @ Thompson Pass MP 25.7,61.12837,-145.73183,884.0,"Jan 08, 2012",,AK_RWIS,
58,TRDA2,Richardson Hwy @ Trims DOT MS MP 218.2,63.416,-145.749,755.0,"Nov 03, 2011",,AK_RWIS,
59,AK075,Richardson Hwy @ Tsina River MP 37,61.20793,-145.48341,479.0,"Nov 23, 2022",,AK_RWIS,
60,RHVA2,Richardson Hwy @ Valdez MP 18.6,61.11105,-145.8175,282.0,"Nov 03, 2011",,AK_RWIS,
61,SBPA2,Seward Highway @ Bird Point MP 96.3,60.92979,-149.34497,19.0,"Nov 04, 2011",,AK_RWIS,
62,SHDA2,Seward Highway @ Divide MP 11.7,60.2513,-149.353,221.0,"Mar 03, 2016",,AK_RWIS,
63,SHRA2,Seward Highway @ Huffman Road,61.10932,-149.85124,59.0,"Nov 03, 2011",,AK_RWIS,
64,SMCA2,Seward Highway @ McHugh Creek MP 111.8,61.01682,-149.73625,26.0,"Nov 15, 2011","Sep 10, 2021",AK_RWIS,
65,SPGA2,Seward Highway @ Portage Glacier Road,60.81894,-148.97575,20.0,"Nov 03, 2011",,AK_RWIS,
66,SRPA2,Seward Highway @ Turnagain Pass MP 69.9,60.8042,-149.18451,311.0,"Jan 21, 2014",,AK_RWIS,
67,SHBA2,Seward Hwy 98.5,60.94952,-149.39322,14.0,"May 12, 2023",,AK_RWIS,
68,FTSA2,Seward Hwy @ Summit Lake Lodge MP 45.8,60.6404,-149.501,411.0,"Nov 03, 2011",,AK_RWIS,
69,CLRA2,Steese Highway @ Cleary Summit MP 20.9,65.04703,-147.4465,660.0,"Nov 03, 2011",,AK_RWIS,
70,SJLA2,Sterling Highway@Jean Lake Hill MP 62.3,60.5238,-150.21,192.0,"Jul 10, 2012",,AK_RWIS,
71,SRNA2,Sterling Highway @ Tern Lake MP 37,60.5321,-149.556,209.0,"Nov 03, 2011",,AK_RWIS,
72,SOLA2,Sterling Hwy @ DOT Soldotna MS - MP 9,60.45519,-151.09993,56.0,"Nov 03, 2011",,AK_RWIS,
73,NRBA2,Sterling Hwy @ Ninilchik River Bridge,60.0478,-151.659,27.0,"Nov 03, 2011",,AK_RWIS,
74,RUFA2,Sterling Hwy @ Russian R. Ferry MP 54.8,60.4872,-150.002,108.0,"Nov 03, 2011",,AK_RWIS,
75,THNA2,Thane Road Snow Slide Gulch @ MP 1.9,58.2828,-134.375,10.2,"Nov 27, 2013",,AK_RWIS,
76,THTA2,Thane Road @ Snow Slide Gulch MP 2.2,58.2814,-134.37,10.0,"Dec 31, 2014",,AK_RWIS,
77,MNPA2,Tok Cutoff @ Mentasta Pass MP 79.2,62.9027,-143.669,732.0,"Nov 03, 2011",,AK_RWIS,
78,AK906,Tok Cutoff @ MP 18.5 AK US AKDOT,62.43233,-144.94791,569.0,"May 12, 2023",,AK_RWIS,
79,AK028,University Avenue Fairbanks @ Chena Ri,64.8419,-147.812,159.0,"Nov 03, 2011","Feb 20, 2013",AK_RWIS,
80,UAVA2,University Avenue Fairbanks @ Chena Riv,64.8415,-147.813,145.0,"Feb 20, 2013",,AK_RWIS,
81,WRTA2,Whittier Access Road @ Tunnel MP 1.35,60.79002,-148.81274,51.0,"Nov 03, 2011",,AK_RWIS,
