,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
15,AK0258,AMERICAN RIVER,65.5,-165.75,30.48,"Jun 01, 1944","Aug 31, 1945",AKCLIMATE,
16,AK0288,ANCHORAGE 4 ESE,61.2,-149.78333,54.864,"Mar 01, 1957","Oct 31, 1962",AKCLIMATE,
17,AK0282,ANCHORAGE 5SE,61.16056,-149.80722,61.2648,"Jan 01, 2007","Oct 31, 2008",AKCLIMATE,
18,AK0272,ANCHORAGE ARCTIC & INTERNATIONAL,61.17472,-149.905,35.6616,"Aug 01, 2005","Oct 31, 2009",AKCLIMATE,
19,AKTANC,Anchorage Area,61.16972,-150.02611,29.0,"Apr 01, 1952",,AKCLIMATE,
20,AK2820,ANCHORAGE ELMENDORF AFB,61.25306,-149.79361,64.6176,"Jan 01, 1947","Sep 30, 1997",AKCLIMATE,
21,AK0275,ANCHORAGE FORECAST OFFICE,61.1561,-149.9847,39.9288,"Feb 01, 1998",,AKCLIMATE,TRACKS_STATION=AFC|AK_COOP
22,AK0279,ANCHORAGE HILLSIDE,61.11667,-149.73334,304.8,"Jul 01, 1993","May 21, 2014",AKCLIMATE,
23,AK0277,ANCHORAGE LAKE HOOD SEA PLANE BASE,61.1786,-149.96509,24.9936,"Feb 01, 1998","Sep 30, 2023",AKCLIMATE,TRACKS_STATION=LHD|AK_COOP
24,AK0286,ANCHORAGE MIDTOWN,61.19389,-149.88583,24.9936,"Oct 01, 2000","Mar 31, 2009",AKCLIMATE,
25,AK0276,ANCHORAGE PARK STRIP,61.21667,-149.86667,25.908,"Jan 01, 1964","Jun 30, 1973",AKCLIMATE,
26,AK0284,ANCHORAGE RABBIT CREEK #2,61.0882,-149.7561,278.2824,"Jul 01, 2006","Jan 03, 2021",AKCLIMATE,
27,AK0280,Anchorage Ted Stevens,61.16916,-150.02771,36.0,"Apr 01, 1952",,AKCLIMATE,TRACKS_STATION=PANC|AK_ASOS
28,AK0281,ANCHORAGE UPPER DE ARMOUN,61.1025,-149.7169,406.908,"Dec 01, 2005",,AKCLIMATE,TRACKS_STATION=AUDA2|AK_COOP
29,AK0296,ANCHOR POINT 4 SE,59.74667,-151.75444,51.5112,"Oct 01, 2002","Aug 20, 2012",AKCLIMATE,
30,AK0297,ANCHOR POINT-RIVER,59.77222,-151.8364,10.0584,"Apr 01, 2003","Apr 30, 2012",AKCLIMATE,
31,AK0299,ANDERSON,64.34583,-149.19472,155.448,"Jul 01, 1997","Nov 30, 2001",AKCLIMATE,
32,AK0302,ANDERSON LAKE,61.6244,-149.33971,143.256,"Jan 01, 1971","Feb 28, 2010",AKCLIMATE,
33,AK0310,ANGOON,57.49889,-134.5864,8.5344,"Apr 01, 1932","Feb 28, 2011",AKCLIMATE,
34,AK0332,ANIAK AIRPORT,61.58159,-159.54305,25.908,"Aug 01, 1920","Mar 31, 1990",AKCLIMATE,
35,AK0352,Annette Airport,55.0389,-131.5787,31.0,"Jan 01, 1941","Oct 01, 2019",AKCLIMATE,
36,AK0363,ANNEX CREEK,58.3183,-134.1003,28.0416,"Jan 01, 1917",,AKCLIMATE,TRACKS_STATION=ANXA2|AK_COOP
37,AK0396,ARCTIC VILLAGE,68.11667,-145.53333,633.984,"Aug 01, 1962","Sep 30, 1996",AKCLIMATE,
38,AK0433,ATKA AP,52.22028,-174.20612,17.0688,"Oct 01, 1916","Dec 02, 2022",AKCLIMATE,
39,AK0452,ATTU,52.83333,173.18333,21.336,"Jul 01, 1917","Aug 31, 1993",AKCLIMATE,
40,AK0464,AUKE BAY,58.3833,-134.6333,21.0,"Feb 01, 1963",,AKCLIMATE,TRACKS_STATION=AUKA2|AK_COOP
41,AK0490,AURORA,64.8552,-147.7216,135.0264,"Oct 01, 2002",,AKCLIMATE,TRACKS_STATION=AURA2|AK_COOP
42,AK0522,BARANOF,57.08333,-134.83333,-304.4952,"Nov 01, 1936","Mar 25, 1966",AKCLIMATE,
43,AK0546,BARROW AIRPORT,71.28703,-156.73938,8.2296,"Sep 01, 1901","Nov 16, 2023",AKCLIMATE,TRACKS_STATION=BRW|AK_COOP
44,AK0547,BARROW ERL,71.32431,-156.61227,4.572,"Feb 01, 2015","Oct 04, 2023",AKCLIMATE,TRACKS_STATION=BROA2|AK_COOP
45,AK0558,BARTER ISLAND WSO AP,70.13389,-143.57693,0.6096,"Sep 01, 1947","Dec 24, 2022",AKCLIMATE,
46,AK0594,BEACON PARK,61.11667,-149.85001,49.0728,"Jan 01, 1971","Aug 31, 1972",AKCLIMATE,
47,AK0602,BEAR COVE,59.73333,-151.03333,24.0792,"Nov 01, 1955","Dec 31, 1972",AKCLIMATE,
48,AK0653,BEAVER,66.35972,-147.40138,108.204,"Jun 01, 1971","Nov 30, 2000",AKCLIMATE,
49,AK0655,BEAVER DAM,61.2333,-145.39999,121.92,"Mar 01, 1919","Sep 30, 1920",AKCLIMATE,
50,AK0657,BEAVER FALLS,55.3574,-131.69691,10.668,"May 01, 1948","Dec 02, 2017",AKCLIMATE,
51,AK0676,BELL ISLAND,55.91667,-131.58333,-304.4952,"Oct 01, 1929","Nov 30, 1952",AKCLIMATE,
52,AK0685,BELUGA,61.18333,-151.03333,22.86,"Aug 01, 1973","Jun 30, 1992",AKCLIMATE,
53,AK0707,BEN'S FARM,61.5632,-149.15421,38.7096,"May 01, 1969","Dec 31, 2022",AKCLIMATE,
54,AK0754,BETHEL AIRPORT,60.78497,-161.82932,32.6136,"Aug 01, 1923","Sep 30, 2023",AKCLIMATE,TRACKS_STATION=BET|AK_COOP
55,AK0758,BETTLES,66.93333,-151.5,182.88,"Mar 01, 2002","Feb 01, 2017",AKCLIMATE,
56,AK0761,BETTLES AIRPORT,66.91764,-151.51892,196.596,"May 01, 1951",,AKCLIMATE,TRACKS_STATION=BTT|AK_COOP
57,AK0760,BETTLES CAA,66.9,-151.71667,260.9088,"May 01, 1944","Apr 30, 1951",AKCLIMATE,
58,AK0766,BIG BAY RANGER STATION,58.55194,-152.60806,8.5344,"Aug 01, 1991","Sep 30, 2000",AKCLIMATE,
59,AK0771,BIG DELTA,64.15639,-145.845,297.18,"Aug 01, 2003","Sep 16, 2007",AKCLIMATE,
60,AK0770,BIG DELTA AIRPORT,63.99312,-145.72134,388.0104,"Jun 01, 1917","Sep 30, 2023",AKCLIMATE,TRACKS_STATION=BIG|AK_COOP
61,AK0775,BIG DIPPER FARM,60.55,-150.88333,92.0496,"May 01, 1968","Apr 26, 1970",AKCLIMATE,
62,AK0777,BIG LAKE,61.53333,-149.83333,67.056,"May 01, 1957","Dec 31, 1961",AKCLIMATE,
63,AK0781,BIG LAKE 2,61.56667,-149.96667,54.864,"Jun 01, 1971","Aug 31, 1977",AKCLIMATE,
64,AK0788,BIG RIVER LAKES,60.81417,-152.29694,18.288,"Jan 01, 1978","Nov 30, 2010",AKCLIMATE,
65,AK0804,BIORKA,56.85,-135.55,14.9352,"Mar 01, 1941","Nov 30, 1979",AKCLIMATE,
66,AK0832,BLASHKE ISLAND,56.1172,-132.9016,3.9624,"Jul 01, 2001","Jan 31, 2013",AKCLIMATE,
67,AK0910,BOUNDARY,64.06667,-141.11667,793.0896,"Oct 01, 1947","Oct 14, 1957",AKCLIMATE,
68,AK0986,BROOKS LAKE,58.55,-155.81667,11.8872,"May 01, 1951","Sep 30, 1972",AKCLIMATE,
69,AK1017,BROOKS RIVER,58.55,-155.78333,13.1064,"Jul 01, 1967","Aug 31, 1990",AKCLIMATE,
70,AK1130,BRVRUD,61.55,-149.08333,39.9288,"Jun 01, 1966","Feb 28, 1971",AKCLIMATE,
71,AK1180,BUTTE 1W,61.5379,-149.05611,26.8224,"Oct 01, 2007","Jul 31, 2013",AKCLIMATE,
72,AK1175,BUTTE 3NNE,61.5836,-149.00549,74.9808,"Dec 01, 2002","Apr 30, 2011",AKCLIMATE,
73,AK1201,CALDER,56.16667,-132.45,6.096,"Apr 01, 1908","Apr 30, 1932",AKCLIMATE,
74,AK1225,CAMP #6 NEAR THANE,58.2833,-134.4167,846.1248,"Nov 01, 1915","Mar 31, 1918",AKCLIMATE,
75,AK1220,CAMPBELL CREEK SCIENCE CENTER,61.1638,-149.77769,78.6384,"May 01, 2000","Oct 31, 2022",AKCLIMATE,
76,AK1226,CAMP RUNAMUK,58.55,-134.81667,14.9352,"Feb 01, 1975","Aug 31, 1976",AKCLIMATE,
77,AK1228,CAMP TOGOWOODS,61.495,-149.75722,42.672,"Oct 01, 2001","Sep 30, 2007",AKCLIMATE,
78,AK1230,CANDLE,65.93333,-161.91667,7.0104,"Oct 01, 1903","Oct 26, 1950",AKCLIMATE,
79,AK1240,CANNERY CREEK,61.0183,-147.51469,25.908,"May 01, 1979","Dec 31, 2022",AKCLIMATE,
80,AK1243,CANTWELL 2 E,63.3952,-148.895,649.8336,"Nov 01, 1983","Aug 26, 2011",AKCLIMATE,
81,AK1244,CANTWELL 4E,63.3724,-148.8441,689.4576,"Nov 01, 2005","Nov 12, 2013",AKCLIMATE,
82,AK1251,CANYON ISLAND,58.55,-133.67889,6.096,"Oct 01, 1935","Dec 19, 2017",AKCLIMATE,
83,AK1254,CANYON VILLAGE,67.15,-141.75,302.0568,"Jun 01, 1963","Jun 30, 1968",AKCLIMATE,
84,AK1269,CAPE DECISION,56.00202,-134.13516,-304.4952,"Nov 01, 1940","Aug 31, 1974",AKCLIMATE,
85,AK1308,CAPE HINCHINBROOK,60.23333,-146.64999,56.388,"May 01, 1944","Aug 31, 1974",AKCLIMATE,
86,AK1312,CAPE LISBURNE,68.86667,-166.11667,13.716,"Jan 01, 1954","Nov 30, 1984",AKCLIMATE,
87,AK1314,CAPE NEWENHAM,58.63333,-162.14999,144.78,"Sep 01, 1953","Nov 30, 1984",AKCLIMATE,
88,AK1316,CAPE POLE,55.96667,-133.8,-304.4952,"Jan 01, 1975","Jul 31, 1978",AKCLIMATE,
89,AK1318,CAPE ROMANZOF,61.76667,-166.05,132.2832,"May 01, 1953","Feb 24, 1985",AKCLIMATE,
90,AK1325,CAPE SARICHEF LIGHT STN,54.6,-164.93333,53.9496,"Mar 01, 1952","Dec 10, 1980",AKCLIMATE,
91,AK1334,CAPE SPENCER,58.2,-136.63333,-304.4952,"Nov 01, 1936","Aug 31, 1974",AKCLIMATE,
92,AK1321,CAPE ST ELIAS,59.8,-144.60001,-304.4952,"Jul 01, 1936","Jul 31, 1974",AKCLIMATE,
93,AK1341,CAPE THOMPSON,68.1,-165.76666,10.9728,"Jan 01, 1960","Apr 30, 1963",AKCLIMATE,
94,AK1447,CASWELL,61.96667,-149.89999,-304.4952,"Dec 01, 1948","Aug 31, 1958",AKCLIMATE,
95,AK1451,CASWELL 5 N,61.97361,-150.05943,76.2,"Aug 01, 1996","Apr 30, 1998",AKCLIMATE,
96,AK1452,CATHEDRAL BLUFFS,63.38333,-143.75,473.0496,"Jul 01, 1968","Aug 31, 1970",AKCLIMATE,
97,AK1466,CENTRAL NO 2,65.5667,-144.7653,280.416,"May 01, 1905","Jun 02, 2011",AKCLIMATE,
98,AK1475,CHALKYITSIK,66.63333,-143.71667,170.9928,"Aug 01, 1962","Nov 30, 1972",AKCLIMATE,
99,AK1492,CHANDALAR LAKE,67.5111,-148.49249,577.596,"Jun 01, 1963","Oct 28, 2011",AKCLIMATE,
100,AK1497,CHANDALAR SHELF DOT,68.0781,-149.5647,990.6,"May 01, 2000","Jul 14, 2019",AKCLIMATE,
101,AK1525,CHELATNA LAKE,62.43389,-151.40916,426.72,"Apr 01, 2003","May 29, 2016",AKCLIMATE,
102,AK1574,CHENA HOT SPRINGS RESORT,65.0528,-146.05611,361.188,"Aug 01, 1962","Nov 30, 2011",AKCLIMATE,
103,AK1557,CHENA RIDGE,64.83,-147.85249,340.4616,"Apr 01, 1999","Mar 25, 2013",AKCLIMATE,
104,AK1601,CHERNOFSKI HARBOR,53.43333,-167.35001,9.144,"Jan 01, 1925","Jul 31, 1942",AKCLIMATE,
105,AK1629,CHESTOCHENA,62.6667,-144.4167,-304.4952,"Apr 01, 1904","Oct 31, 1907",AKCLIMATE,
106,AK1641,CHICHAGOF,57.66667,-136.08333,3.048,"Jan 01, 1951","Oct 31, 1957",AKCLIMATE,
107,AK1662,CHICKALOON,61.8,-148.45,284.0736,"Mar 01, 1910","Jul 31, 1933",AKCLIMATE,
108,AK1684,CHICKEN,64.0917,-141.9211,548.64,"May 01, 1911",,AKCLIMATE,TRACKS_STATION=CQNA2|AK_COOP
109,AK1716,CHIGNIK,56.3,-158.39999,9.144,"Apr 01, 1927","May 31, 1978",AKCLIMATE,
110,AK1763,CHINIAK,57.61528,-152.36444,47.8536,"Aug 01, 1991","Dec 31, 2000",AKCLIMATE,
111,AK1810,CHINITNA BAY,59.75,-153.23334,92.0496,"Jul 01, 1936","Aug 31, 1939",AKCLIMATE,
112,AK1814,CHISANA,62.08333,-142.01666,967.1304,"Oct 01, 1966","Aug 31, 1972",AKCLIMATE,
113,AK1818,CHISIK ISLAND,60.1,-152.58333,9.144,"Jun 01, 1967","May 15, 1969",AKCLIMATE,
114,AK1821,CHISTOCHINA 4 NNE,62.6125,-144.61555,592.836,"Oct 01, 2002","May 09, 2004",AKCLIMATE,
115,AK1824,CHITINA,61.5223,-144.4407,195.9864,"Mar 01, 1917","Nov 14, 2012",AKCLIMATE,
116,AK1900,CHULITNA HIGHWAY CAMP,62.4,-150.25,153.0096,"Jun 01, 1970","Jul 31, 1980",AKCLIMATE,
117,AK1926,CHULITNA RIVER,62.8255,-149.9061,412.6992,"Jan 01, 1971","Apr 29, 2022",AKCLIMATE,
118,AK1977,CIRCLE CITY,65.83333,-144.06667,182.2704,"Jul 01, 1900","Oct 15, 1999",AKCLIMATE,
119,AK1987,CIRCLE HOT SPRINGS,65.4939,-144.6422,262.128,"Jul 01, 1935",,AKCLIMATE,TRACKS_STATION=CHSA2|AK_COOP
120,AK2005,CLEAR 4 N,64.35472,-149.04361,150.876,"Dec 01, 1965","Dec 30, 1997",AKCLIMATE,
121,AK2015,CLEAR SKY,64.2452,-149.1828,196.9008,"Oct 01, 2009","Jul 02, 2021",AKCLIMATE,
122,AK2019,CLEARWATER,64.05,-145.51666,335.28,"Oct 01, 1964","Aug 31, 1994",AKCLIMATE,
123,AK2041,COAL HARBOR,55.4,-160.8167,121.92,"Jan 01, 1893","Jul 31, 1911",AKCLIMATE,
124,AK2084,COFFMAN COVE,56.0,-132.83333,3.048,"Oct 01, 1970","Mar 31, 2018",AKCLIMATE,
125,AK2102,Cold Bay,55.2207,-162.73241,25.0,"Mar 01, 1950",,AKCLIMATE,TRACKS_STATION=PACD|AK_ASOS
126,AK9153,COLD BAY THORNBROUGH AFB,55.2,-162.71667,-304.4952,"Apr 01, 1942","Jun 30, 1954",AKCLIMATE,
127,AK2104,COLDFOOT,67.2539,-150.1875,320.04,"Sep 01, 1993","Apr 30, 2000",AKCLIMATE,
128,AK2103,COLDFOOT CAMP,67.26667,-150.23334,335.8896,"Oct 01, 1970","May 15, 1977",AKCLIMATE,
129,AK2105,COLLEEN RIVER,67.73333,-142.46667,274.0152,"Aug 01, 1962","Aug 31, 1968",AKCLIMATE,
130,AK2110,COLLEGE 3NNW,64.89222,-147.84528,256.9464,"Sep 01, 2004","Feb 28, 2009",AKCLIMATE,
131,AK2114,COLLEGE 4 WSW,64.8264,-147.95889,273.4056,"Oct 01, 2007","Mar 08, 2010",AKCLIMATE,
132,AK2112,COLLEGE 5 NW,64.925,-147.88028,298.0944,"Aug 01, 1976","Dec 06, 2013",AKCLIMATE,
133,AK2107,COLLEGE OBSERVATORY,64.8603,-147.8484,181.9656,"May 01, 1948",,AKCLIMATE,TRACKS_STATION=FAOA2|AK_COOP
134,AK2126,COLVILLE VILLAGE,70.4322,-150.40939,1.524,"Dec 01, 1996","Nov 04, 2019",AKCLIMATE,
135,AK2144,COOPER LAKE PROJECT,60.3925,-149.66611,153.924,"Dec 01, 1958","Mar 31, 2004",AKCLIMATE,
136,AK2149,COOPER LANDING 5 W,60.4875,-149.96809,114.3,"Feb 01, 1975","Feb 28, 2014",AKCLIMATE,
137,AK2147,COOPER LANDING KENAI R,60.49222,-149.80888,127.7112,"Sep 01, 1941","Dec 20, 2017",AKCLIMATE,
138,AK2156,COPPER CENTER,61.96667,-145.31667,304.8,"Jul 01, 1902","Oct 31, 1982",AKCLIMATE,
139,AK2161,COPPER VALLEY SCHOOL,62.08333,-145.3,313.944,"Nov 01, 1962","Feb 28, 1971",AKCLIMATE,
140,AK2177,CORDOVA AIRPORT,60.4888,-145.4511,9.4488,"May 01, 1909","Sep 30, 2023",AKCLIMATE,TRACKS_STATION=CDV|AK_COOP
141,AK2173,CORDOVA NORTH,60.5561,-145.75301,7.62,"Jun 01, 1955","Jun 30, 2019",AKCLIMATE,
142,AK2179,CORDOVA WWTP,60.5358,-145.778,3.048,"May 01, 2004","Nov 30, 2022",AKCLIMATE,
143,AK2217,COUNCIL,64.88333,-163.68333,28.956,"Aug 01, 1937","Jul 31, 1942",AKCLIMATE,
144,AK2222,CRAB BAY,60.06667,-147.98334,21.0312,"Jan 01, 1975","Apr 30, 1979",AKCLIMATE,
145,AK2227,Craig Forest Service,55.48,-133.1467,0.0,"Oct 01, 1936",,AKCLIMATE,TRACKS_STATION=CFSA2|AK_COOP
146,AK2235,CREEKSIDE PARK SCHOOL,61.21667,-149.73334,78.9432,"Nov 01, 1962","May 31, 1968",AKCLIMATE,
147,AK2241,CRESTLINE,64.92389,-147.66499,341.376,"Aug 01, 1996","Dec 31, 2000",AKCLIMATE,
148,AK2247,CROOKED CREEK KUSKOKWIM RIVER,61.86667,-158.10001,60.96,"Jul 01, 1911","Nov 30, 1974",AKCLIMATE,
149,AK2252,CROOKED TEAPOT,62.95,-143.3,640.9944,"Nov 01, 1971","Feb 28, 1973",AKCLIMATE,
150,AK2266,CURRY,62.61667,-150.03333,-304.4952,"Feb 01, 1942","Jan 22, 1948",AKCLIMATE,
151,AK2280,DAHL CREEK,66.93333,-156.86667,81.9912,"Aug 01, 1909","Sep 30, 1911",AKCLIMATE,
152,AK2307,DAVIS RIVER POWER PLANT,55.76667,-130.18333,-304.4952,"Sep 01, 1932","Sep 30, 1936",AKCLIMATE,
153,AK2316,DEADHORSE,70.19146,-148.48006,17.6784,"Jun 01, 1999","Sep 30, 2023",AKCLIMATE,TRACKS_STATION=SCC|AK_COOP
154,AK2327,DEERING,66.06917,-162.76666,4.572,"Jul 01, 1917","Dec 31, 1949",AKCLIMATE,
155,AK2350,DELTA 5 NE,64.0839,-145.6136,323.088,"Aug 01, 1994","Jul 31, 2015",AKCLIMATE,
156,AK2339,DELTA 6 N,64.1172,-145.7511,322.7832,"Aug 01, 1996",,AKCLIMATE,TRACKS_STATION=DDAA2|AK_COOP
157,AK2347,DELTA JUNCTION,64.01667,-145.7,363.0168,"Oct 01, 1966","Apr 30, 1969",AKCLIMATE,
158,AK2352,DELTA JUNCTION 20 SE,63.9647,-145.105,342.9,"Nov 01, 1980",,AKCLIMATE,TRACKS_STATION=BIGA2|AK_COOP
159,AK2393,DEVILS CLUB,60.96667,-149.18333,110.0328,"Dec 01, 1958","Jun 30, 1962",AKCLIMATE,
160,AK2425,DIETRICH,67.68333,-149.73334,-304.4952,"Oct 01, 1970","Apr 30, 1972",AKCLIMATE,
161,AK2465,DILLINGHAM 17 NW,59.18333,-158.83333,11.5824,"Jan 01, 1981","May 31, 1983",AKCLIMATE,
162,AK2457,DILLINGHAM AP,59.05,-158.51669,26.2128,"Feb 01, 1919","May 31, 2005",AKCLIMATE,
163,AK2493,DONNELLY,63.6667,-145.89999,-304.4952,"Apr 01, 1917","Dec 31, 1919",AKCLIMATE,
164,AK2522,DOT LAKE,63.65389,-144.06557,420.624,"Feb 01, 1905","Apr 30, 1975",AKCLIMATE,
165,AK2568,DRY CREEK,63.67459,-144.6041,413.004,"Aug 01, 1996",,AKCLIMATE,TRACKS_STATION=DRYA2|AK_COOP
166,AK2586,DUTCH HARBOR,53.9167,-166.5,15.24,"Jun 01, 1905","Sep 30, 1920",AKCLIMATE,
167,AK2587,DUTCH HARBOR,53.895,-166.5433,3.048,"May 01, 1915",,AKCLIMATE,TRACKS_STATION=DUT|AK_COOP
168,AK2607,EAGLE,64.7856,-141.2036,271.12015,"Nov 01, 1901",,AKCLIMATE,TRACKS_STATION=EGLA2|AK_COOP
169,AK2610,EAGLECREST BASE,58.2761,-134.51401,345.6432,"Jan 01, 2004",,AKCLIMATE,TRACKS_STATION=ECBA2|AK_COOP
170,AK2638,EAGLE RIVER,61.31667,-149.5,228.9048,"Nov 01, 1901","Jan 31, 1972",AKCLIMATE,
171,AK2640,EAGLE RIVER 1S,61.30778,-149.55888,76.2,"May 01, 2002","Mar 31, 2007",AKCLIMATE,
172,AK2656,EAGLE RIVER 5 SE,61.2968,-149.4399,151.7904,"Oct 01, 1989","Dec 31, 2022",AKCLIMATE,
173,AK2645,EAGLE RIVER GAKONA CIRCLE,61.3193,-149.5435,172.8216,"Jan 01, 2003","Nov 30, 2022",AKCLIMATE,
174,AK2642,EAGLE RIVER NATURE CENTER,61.2344,-149.2708,158.496,"Jul 01, 1981","Dec 26, 2022",AKCLIMATE,
175,AK2648,EAGLE RIVER SO FORK,61.2225,-149.43861,652.272,"Sep 01, 1976","Apr 30, 1984",AKCLIMATE,
176,AK2665,EDGEMIRE LAKES,62.53333,-150.28333,231.9528,"Oct 01, 1971","Feb 28, 1981",AKCLIMATE,
177,AK2681,EDNA BAY,56.0,-133.5,3.048,"Jun 01, 1946","Sep 30, 1947",AKCLIMATE,
178,AK2692,EGEGIK,58.21667,-157.38333,14.9352,"Sep 01, 1971","Apr 30, 1973",AKCLIMATE,
179,AK2707,EIELSON FIELD,64.66667,-147.10001,166.7256,"Oct 01, 1946","Jun 30, 2011",AKCLIMATE,
180,AK2711,EIELSON VISITOR CENTER,63.42583,-150.31168,1146.3528,"Jan 01, 1971","Dec 20, 2017",AKCLIMATE,
181,AK2717,EKLUTNA,61.45,-149.33333,-304.4952,"May 01, 1941","Feb 28, 1955",AKCLIMATE,
182,AK2725,EKLUTNA LAKE,61.4,-149.14999,267.9192,"Jun 01, 1946","Aug 31, 1976",AKCLIMATE,
183,AK2730,EKLUTNA PROJECT,61.46667,-149.16667,11.5824,"Jan 01, 1952","Jan 31, 1998",AKCLIMATE,
184,AK2737,EKLUTNA WTP,61.4495,-149.323,195.072,"Mar 01, 2001","Nov 30, 2022",AKCLIMATE,
185,AK2770,ELDRED ROCK,58.96667,-135.21667,15.8496,"Mar 01, 1941","Jul 16, 1973",AKCLIMATE,
186,AK2785,ELFIN COVE,58.1916,-136.34351,6.096,"Jan 01, 1975","Dec 15, 2022",AKCLIMATE,
187,AK2825,EMMONAK,62.78528,-164.4911,4.2672,"Sep 01, 1977","Jan 21, 1994",AKCLIMATE,
188,AK2835,ERNESTINE,61.45,-145.11667,580.0344,"Jul 01, 1965","Jan 31, 1977",AKCLIMATE,
189,AK2870,ESTER,64.8464,-148.0256,199.644,"May 01, 2003","Oct 31, 2021",AKCLIMATE,
190,AK2872,ESTER 4 S,64.79194,-148.03667,352.044,"May 01, 2000","Apr 30, 2002",AKCLIMATE,
191,AK2871,ESTER 5NE,64.911,-147.92419,192.024,"Dec 01, 1997",,AKCLIMATE,TRACKS_STATION=ENEA2|AK_COOP
192,AK2873,ESTER 6 NE,64.91333,-147.91389,195.072,"Apr 01, 1999","Apr 30, 2002",AKCLIMATE,
193,AK2868,ESTER DOME,64.87583,-148.04388,663.5496,"Aug 01, 1999","Oct 03, 2010",AKCLIMATE,
194,AK2952,EUREKA,61.95,-147.16667,1018.9464,"Jul 01, 1953","Sep 30, 1968",AKCLIMATE,
195,AK2960,EXCURSION INLET,58.4167,-135.4333,7.62,"Feb 01, 1943","Mar 31, 1944",AKCLIMATE,
196,AK2966,FAIRBANKS 11 NE,64.9735,-147.50999,347.472,"Aug 01, 2002","Oct 04, 2023",AKCLIMATE,TRACKS_STATION=FNEA2|AK_COOP
197,AK2963,FAIRBANKS 39 ENE,64.89944,-146.40889,225.552,"May 01, 2002","Dec 20, 2017",AKCLIMATE,
198,AK2962,FAIRBANKS 9 ENE,64.88667,-147.24944,161.544,"Jul 01, 1942","Dec 20, 2017",AKCLIMATE,
199,AK2965,FAIRBANKS AIRPORT #2,64.8172,-147.8739,130.1496,"Dec 01, 1999","Nov 18, 2020",AKCLIMATE,
200,AK2968,FAIRBANKS INTL AP,64.80309,-147.87605,131.064,"Dec 01, 1929","Sep 30, 2023",AKCLIMATE,TRACKS_STATION=FAI|AK_COOP
201,AK2970,FAIRBANKS MIDTOWN,64.83417,-147.79111,134.112,"Dec 01, 1996","Jul 31, 2013",AKCLIMATE,
202,AK2988,FAREWELL FAA AP,62.51667,-153.88333,458.1144,"Dec 01, 1941","Jul 31, 1981",AKCLIMATE,
203,AK3009,FAREWELL LAKE,62.54222,-153.62056,323.088,"Apr 01, 1985","Feb 28, 2009",AKCLIMATE,
204,AK3072,FIVE FINGER LIGHT STN,57.26667,-133.61667,9.144,"Apr 01, 1941","Jul 31, 1984",AKCLIMATE,
205,AK3082,FIVE MILE CAMP,66.08333,-150.0,-304.4952,"Jan 01, 1975","Aug 31, 1980",AKCLIMATE,
206,AK3083,FLAG HILL,64.40778,-146.94861,348.0816,"Aug 01, 1996","Dec 31, 1997",AKCLIMATE,
207,AK3085,FLAT,62.45,-158.0,99.06,"Aug 01, 1932","May 31, 1961",AKCLIMATE,
208,AK3160,FORT KNOX MINE,65.0033,-147.34081,494.0808,"Dec 01, 1997",,AKCLIMATE,TRACKS_STATION=FKMA2|AK_COOP
